MV,RM,TAX,PT,LSTAT
24,6.575,296,15.3,4.98
21.6,6.421,242,17.8,9.14
34.7,7.185,242,17.8,4.03
33.4,6.998,222,18.7,2.94
36.2,7.147,222,18.7,5.33
28.7,6.43,222,18.7,5.21
22.9,6.012,311,15.2,12.43
27.1,6.172,311,15.2,19.15
16.5,5.631,311,15.2,29.93
18.9,6.004,311,15.2,17.1
15,6.377,311,15.2,20.45
18.9,6.009,311,15.2,13.27
21.7,5.889,311,15.2,15.71
20.4,5.949,307,21,8.26
18.2,6.096,307,21,10.26
19.9,5.834,307,21,8.47
23.1,5.935,307,21,6.58
17.5,5.99,307,21,14.67
20.2,5.456,307,21,11.69
18.2,5.727,307,21,11.28
13.6,5.57,307,21,21.02
19.6,5.965,307,21,13.83
15.2,6.142,307,21,18.72
14.5,5.813,307,21,19.88
15.6,5.924,307,21,16.3
13.9,5.599,307,21,16.51
16.6,5.813,307,21,14.81
14.8,6.047,307,21,17.28
18.4,6.495,307,21,12.8
21,6.674,307,21,11.98
12.7,5.713,307,21,22.6
14.5,6.072,307,21,13.04
13.2,5.95,307,21,27.71
13.1,5.701,307,21,18.35
13.5,6.096,307,21,20.34
18.9,5.933,279,19.2,9.68
20,5.841,279,19.2,11.41
21,5.85,279,19.2,8.77
24.7,5.966,279,19.2,10.13
30.8,6.595,252,18.3,4.32
34.9,7.024,252,18.3,1.98
26.6,6.77,233,17.9,4.84
25.3,6.169,233,17.9,5.81
24.7,6.211,233,17.9,7.44
21.2,6.069,233,17.9,9.55
19.3,5.682,233,17.9,10.21
20,5.786,233,17.9,14.15
16.6,6.03,233,17.9,18.8
14.4,5.399,233,17.9,30.81
19.4,5.602,233,17.9,16.2
19.7,5.963,243,16.8,13.45
20.5,6.115,243,16.8,9.43
25,6.511,243,16.8,5.28
23.4,5.998,243,16.8,8.43
18.9,5.888,469,21.1,14.8
35.4,7.249,226,17.9,4.81
24.7,6.383,313,17.3,5.77
31.6,6.816,256,15.1,3.95
23.3,6.145,284,19.7,6.86
19.6,5.927,284,19.7,9.22
18.7,5.741,284,19.7,13.15
16,5.966,284,19.7,14.44
22.2,6.456,284,19.7,6.73
25,6.762,284,19.7,9.5
33,7.104,216,18.6,8.05
23.5,6.29,337,16.1,4.67
19.4,5.787,337,16.1,10.24
22,5.878,345,18.9,8.1
17.4,5.594,345,18.9,13.09
20.9,5.885,345,18.9,8.79
24.2,6.417,305,19.2,6.72
21.7,5.961,305,19.2,9.88
22.8,6.065,305,19.2,5.52
23.4,6.245,305,19.2,7.54
24.1,6.273,398,18.7,6.78
21.4,6.286,398,18.7,8.94
20,6.279,398,18.7,11.97
20.8,6.14,398,18.7,10.27
21.2,6.232,398,18.7,12.34
20.3,5.874,398,18.7,9.1
28,6.727,281,19,5.29
23.9,6.619,281,19,7.22
24.8,6.302,281,19,6.72
22.9,6.167,281,19,7.51
23.9,6.389,247,18.5,9.62
26.6,6.63,247,18.5,6.53
22.5,6.015,247,18.5,12.86
22.2,6.121,247,18.5,8.44
23.6,7.007,270,17.8,5.5
28.7,7.079,270,17.8,5.7
22.6,6.417,270,17.8,8.81
22,6.405,270,17.8,8.2
22.9,6.442,270,18.2,8.16
25,6.211,270,18.2,6.21
20.6,6.249,270,18.2,10.59
28.4,6.625,276,18,6.65
21.4,6.163,276,18,11.34
38.7,8.069,276,18,4.21
43.8,7.82,276,18,3.57
33.2,7.416,276,18,6.19
27.5,6.727,384,20.9,9.42
26.5,6.781,384,20.9,7.67
18.6,6.405,384,20.9,10.63
19.3,6.137,384,20.9,13.44
20.1,6.167,384,20.9,12.33
19.5,5.851,384,20.9,16.47
19.5,5.836,384,20.9,18.66
20.4,6.127,384,20.9,14.09
19.8,6.474,384,20.9,12.27
19.4,6.229,384,20.9,15.55
21.7,6.195,384,20.9,13
22.8,6.715,432,17.8,10.16
18.8,5.913,432,17.8,16.21
18.7,6.092,432,17.8,17.09
18.5,6.254,432,17.8,10.45
18.3,5.928,432,17.8,15.76
21.2,6.176,432,17.8,12.04
19.2,6.021,432,17.8,10.3
20.4,5.872,432,17.8,15.37
19.3,5.731,432,17.8,13.61
22,5.87,188,19.1,14.37
20.3,6.004,188,19.1,14.27
20.5,5.961,188,19.1,17.93
17.3,5.856,188,19.1,25.41
18.8,5.879,188,19.1,17.58
21.4,5.986,188,19.1,14.81
15.7,5.613,188,19.1,27.26
16.2,5.693,437,21.2,17.19
18,6.431,437,21.2,15.39
14.3,5.637,437,21.2,18.34
19.2,6.458,437,21.2,12.6
19.6,6.326,437,21.2,12.26
23,6.372,437,21.2,11.12
18.4,5.822,437,21.2,15.03
15.6,5.757,437,21.2,17.31
18.1,6.335,437,21.2,16.96
17.4,5.942,437,21.2,16.9
17.1,6.454,437,21.2,14.59
13.3,5.857,437,21.2,21.32
17.8,6.151,437,21.2,18.46
14,6.174,437,21.2,24.16
14.4,5.019,437,21.2,34.41
13.4,5.403,403,14.7,26.82
15.6,5.468,403,14.7,26.42
11.8,4.903,403,14.7,29.29
13.8,6.13,403,14.7,27.8
15.6,5.628,403,14.7,16.65
14.6,4.926,403,14.7,29.53
17.8,5.186,403,14.7,28.32
15.4,5.597,403,14.7,21.45
21.5,6.122,403,14.7,14.1
19.6,5.404,403,14.7,13.28
15.3,5.012,403,14.7,12.12
19.4,5.709,403,14.7,15.79
17,6.129,403,14.7,15.12
15.6,6.152,403,14.7,15.02
13.1,5.272,403,14.7,16.14
41.3,6.943,403,14.7,4.59
24.3,6.066,403,14.7,6.43
23.3,6.51,403,14.7,7.39
27,6.25,403,14.7,5.5
50,7.489,403,14.7,1.73
50,7.802,403,14.7,1.92
50,8.375,403,14.7,3.32
22.7,5.854,403,14.7,11.64
25,6.101,403,14.7,9.81
50,7.929,403,14.7,3.7
23.8,5.877,403,14.7,12.14
23.8,6.319,403,14.7,11.1
22.3,6.402,403,14.7,11.32
17.4,5.875,403,14.7,14.43
19.1,5.88,403,14.7,12.03
